date,address,active_apartments
2023-12-26,ГП-6,7
2023-12-26,ГП-7,2
2023-12-27,ГП-3,0
2023-12-27,ГП-4,0
2023-12-27,ГП-5,4
2023-12-27,ГП-6,7
2023-12-27,ГП-7,2
2023-12-28,ГП-3,0
2023-12-28,ГП-4,0
2023-12-28,ГП-5,4
2023-12-28,ГП-6,6
2023-12-28,ГП-7,1
2023-12-29,ГП-3,0
2023-12-29,ГП-4,0
2023-12-29,ГП-5,1
2023-12-29,ГП-6,1
2023-12-29,ГП-7,0
2023-12-30,ГП-3,0
2023-12-30,ГП-4,0
2023-12-30,ГП-5,0
2023-12-30,ГП-6,0
2023-12-30,ГП-7,0
2023-12-31,ГП-3,0
2023-12-31,ГП-4,0
2023-12-31,ГП-5,0
2023-12-31,ГП-6,0
2023-12-31,ГП-7,0
